"";"nomor_urut";"jenis_kelamin";"umur";"fakultas";"prodi";"tingkat_semester";"uang_saku";"kepemilikan_mobil";"kepemilikan_motor";"kepemilikan_sepeda";"kendaraan_utama";"jenis_tempat_tinggal";"jarak";"jumlah_perjalanan_selasa";"jumlah_perjalanan_rabu";"jumlah_perjalanan_kamis";"jumlah_perjalanan_jumat";"jumlah_perjalanan_sabtu";"jumlah_perjalanan_ahad"
"331";331;"Laki-laki";20;"Tarbiyah dan Keguruan";"Biologi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";4,32;2;2;0;2;1;0
"332";332;"Perempuan";22;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;3;2;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";7,98;2;3;0;0;3;0
"333";333;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"2 (Semester 3 - Semester 4)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,27;4;0;4;4;0;0
"334";334;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"2 Jt - 3 Jt";0;2;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,24;2;2;2;2;3;3
"335";335;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,26;2;2;0;2;0;3
"336";336;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Anak Usia Dini";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,74;2;2;2;2;1;1
"337";337;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,08;3;3;3;3;2;0
"338";338;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";2;2;1;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";9,55;4;4;4;0;2;0
"339";339;"Laki-laki";22;"Ushuluddin dan Studi Agama";"Psikologi Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";2,46;0;0;0;4;0;0
"340";340;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,9;0;2;2;2;3;0
"341";341;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,35;4;4;4;3;3;0
"342";342;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";7,63;2;2;3;1;0;3
"343";343;"Perempuan";19;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"2 (Semester 3 - Semester 4)";"2 Jt - 3 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";4,36;2;3;4;2;2;0
"344";344;"Laki-laki";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,13;3;3;4;2;0;0
"345";345;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";0,83;2;2;2;0;0;2
"346";346;"Laki-laki";21;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"3 (Semester 5 - Semester 6)";"3 Jt - 4 Jt";1;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,26;2;2;2;3;2;0
"347";347;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;4;2;0;4;0;3
"348";348;"Perempuan";22;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Rumah Mengontrak Bersama-sama";1,48;2;2;2;0;2;0
"349";349;"Perempuan";21;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,26;3;2;3;0;2;0
"350";350;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Anak Usia Dini";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,51;3;2;3;2;0;0
"351";351;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,64;2;4;0;0;2;0
"352";352;"Laki-laki";22;"Tarbiyah dan Keguruan";"Biologi";"1 (Semester 1 - Semester 2)";"2 Jt - 3 Jt";0;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,5;3;2;2;5;2;0
"353";353;"Laki-laki";22;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,87;2;0;3;3;0;2
"354";354;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;1;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";0,77;2;2;2;3;4;2
"355";355;"Laki-laki";23;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,95;0;0;2;5;0;0
"356";356;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,89;2;2;2;2;2;2
"357";357;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"1 (Semester 1 - Semester 2)";"2 Jt - 3 Jt";2;2;2;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";8,4;2;2;2;4;2;0
"358";358;"Perempuan";18;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";1;2;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,11;4;4;2;4;0;0
"359";359;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,44;2;2;3;2;0;2
"360";360;"Laki-laki";23;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";1;2;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,35;2;2;2;6;0;0
"361";361;"Laki-laki";22;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";1,41;3;3;2;3;2;2
"362";362;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"3 Jt - 4 Jt";2;3;2;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";5,66;0;3;0;2;3;0
"363";363;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"1 (Semester 1 - Semester 2)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,92;4;3;3;5;3;0
"364";364;"Laki-laki";22;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,29;2;2;2;4;3;0
"365";365;"Laki-laki";23;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"1 (Semester 1 - Semester 2)";"2 Jt - 3 Jt";2;2;2;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";5,89;2;2;2;2;0;0
"366";366;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";4,66;0;2;0;2;2;0
"367";367;"Perempuan";21;"Tarbiyah dan Keguruan";"Biologi";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";2;3;3;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,67;0;0;4;0;0;3
"368";368;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,55;4;4;4;2;2;0
"369";369;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";3,77;3;2;2;4;0;2
"370";370;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";7,18;2;4;4;0;0;0
"371";371;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;0;0;"Transportasi Online";"Rumah Bersama Saudara";1,37;2;2;2;2;1;0
"372";372;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Anak Usia Dini";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,27;4;4;4;3;2;3
"373";373;"Perempuan";20;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,06;4;0;4;2;3;0
"374";374;"Perempuan";22;"Ushuluddin dan Studi Agama";"Psikologi Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,14;0;3;0;2;2;0
"375";375;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,13;0;3;0;4;2;2
"376";376;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,53;4;4;0;4;0;0
"377";377;"Perempuan";20;"Tarbiyah dan Keguruan";"Biologi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,15;2;0;0;2;2;2
"378";378;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";6,43;0;4;0;2;4;2
"379";379;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";2,34;2;2;2;0;0;0
"380";380;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";2,23;0;4;2;0;0;2
"381";381;"Perempuan";20;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;1;"Sepeda";"Rumah Mengontrak Bersama-sama";1,13;2;4;4;0;2;2
"382";382;"Laki-laki";21;"Tarbiyah dan Keguruan";"Biologi";"3 (Semester 5 - Semester 6)";"3 Jt - 4 Jt";3;3;4;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";1,39;4;4;4;5;2;2
"383";383;"Perempuan";19;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";1,27;2;2;0;2;0;0
"384";384;"Laki-laki";20;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,13;3;4;2;4;2;2
"385";385;"Laki-laki";22;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Pribadi";2,93;0;2;0;2;0;3
"386";386;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,74;0;2;2;2;0;0
"387";387;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;3;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,19;2;2;0;4;2;2
"388";388;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;2;4;0;2;2;0
"389";389;"Laki-laki";21;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";1,58;2;2;0;2;0;2
"390";390;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;3;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,27;2;2;4;4;2;0
"391";391;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,31;0;4;4;0;2;2
"392";392;"Laki-laki";23;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,83;0;0;2;5;0;0
"393";393;"Perempuan";19;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";2,5;4;4;4;0;0;3
"394";394;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Bersama-sama";2,5;4;4;4;2;2;0
"395";395;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;1;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";4,04;2;4;2;4;0;2
"396";396;"Perempuan";21;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";1,29;2;2;2;3;0;2
"397";397;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";4,42;2;0;2;0;0;2
"398";398;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,38;4;2;2;2;0;0
"399";399;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";2,54;2;2;2;5;2;0
"400";400;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;1;"Sepeda";"Rumah Mengontrak Bersama-sama";0,57;2;2;2;3;0;2
"401";1;"Perempuan";21;"Fakultas Ilmu Sosial dan Politik";"Ilmu Komunikasi";"4 (Semester 7 - Semester 8)";"< 1 jt";1;2;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";4,22379670847997;3;2;3;2;2;2
"402";2;"Laki-Laki";20;"Fakultas Hukum";"Ilmu Hukum";"3 (Semester 5 - Semester 6)";"1 jt – 2 jt";2;1;1;"Mobil Pribadi";"Rumah pribadi/rumah keluarga";2,70333096576248;3;3;3;3;3;3
"403";3;"Laki-Laki";21;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;2;2;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";3,23707224952542;1;1;1;1;1;1
"404";4;"Laki-Laki";22;"Fakultas Ekonomi dan Bisnis";"Akuntansi";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;4;1;"Kendaraan Bermotor (menumpang dengan keluarga/teman)";"Rumah pribadi/rumah keluarga";3,00233620800345;2;2;2;2;2;2
"405";5;"Laki-Laki";21;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"2,1 jt – 3 jt";4;4;1;"Mobil Pribadi";"Rumah pribadi/rumah keluarga";5,96192497325066;1;1;1;1;1;1
"406";6;"Perempuan";21;"Fakultas Ekonomi dan Bisnis";"Akuntansi";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;2;1;"Transportasi Online";"Rumah pribadi/rumah keluarga";2,92533062380122;3;1;1;1;1;1
"407";7;"Perempuan";22;"Fakultas Ilmu Sosial dan Politik";"Administrasi Publik";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;1;1;"Transportasi Online";"Rumah pribadi/rumah keluarga";2,0588294028315;2;2;2;2;2;2
"408";8;"Perempuan";22;"Fakultas Ilmu Sosial dan Politik";"Administrasi Publik";"4 (Semester 7 - Semester 8)";"< 1 jt";1;1;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";12,0078708695755;4;4;4;4;3;3
"409";9;"Laki-Laki";22;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;1;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";4,73557825367564;4;4;4;3;4;4
"410";10;"Perempuan";22;"Fakultas Ilmu Sosial dan Politik";"Administrasi Publik";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;1;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";6,7413073568515;3;3;3;3;2;1
"411";11;"Laki-Laki";21;"Fakultas Hukum";"Ilmu Hukum";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";NA;1;NA;"Sepeda Motor Pribadi";"Rumah mengontrak pribadi";2,42393143882071;3;1;1;1;1;1
"412";12;"Laki-Laki";22;"Fakultas Hukum";"Ilmu Hukum";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";0;2;0;"Sepeda Motor Pribadi";"Rumah mengontrak bersama-sama";2,41181595639213;1;2;1;2;1;1
"413";13;"Laki-Laki";22;"Fakultas Hukum";"Ilmu Hukum";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";0;0;0;"Berjalan Kaki";"Rumah mengontrak pribadi";2,77874667603802;1;1;1;1;1;1
"414";14;"Perempuan";22;"Fakultas Ilmu Sosial dan Politik";"Administrasi Publik";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";1;1;0;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";12,7777211017171;4;4;4;4;1;1
"415";15;"Laki-Laki";19;"Fakultas Ekonomi dan Bisnis";"Administrasi Bisnis";"3 (Semester 5 - Semester 6)";"< 1 jt";0;1;0;"Sepeda Motor Pribadi";"Rumah mengontrak pribadi";2,41181595639213;1;3;3;3;1;1
"416";16;"Perempuan";22;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"< 1 jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,781954445386644;3;2;2;2;2;1
"417";17;"Perempuan";23;"Fakultas Ekonomi dan Bisnis";"Administrasi Bisnis";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,323106549174391;3;4;2;3;1;2
"418";18;"Perempuan";22;"Fakultas Ekonomi dan Bisnis";"Akuntansi";"4 (Semester 7 - Semester 8)";"2,1 jt – 3 jt";0;1;0;"Sepeda Motor Pribadi";"Kos bersama-sama";1,91103583617899;1;1;1;1;1;1
"419";19;"Laki-Laki";23;"Fakultas Hukum";"Ilmu Hukum";"4 (Semester 7 - Semester 8)";"< 1 jt";1;0;0;"Sepeda Motor Pribadi";"Rumah bersama saudara";6,89095575098973;1;1;1;1;1;1
"420";20;"Perempuan";22;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"2,1 jt – 3 jt";1;2;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,109226290602469;3;3;3;3;3;3
"421";21;"Laki-Laki";20;"Fakultas Teknik";"Teknik Sipil";"3 (Semester 5 - Semester 6)";"2,1 jt – 3 jt";1;2;3;"Sepeda Motor Pribadi";"Kos bersama-sama";43,5451922443416;1;1;1;1;1;1
"422";22;"Laki-Laki";19;"Fakultas Ilmu Komputer";"Sistem Informasi";"2 (Semester 3 – Semester 4)";"< 1 jt";2;1;1;"Sepeda Motor Pribadi";"Kos bersama-sama";1,96535096672214;1;1;1;1;1;1
"423";23;"Laki-Laki";21;"Fakultas Ilmu Komputer";"Sistem Informasi";"2 (Semester 3 – Semester 4)";"< 1 jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,96535096672214;1;1;1;1;1;1
"424";24;"Laki-Laki";22;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"< 1 jt";0;0;0;"Kendaraan Bermotor (menumpang dengan keluarga/teman)";"Kos bersama-sama";2,50789877995786;3;3;3;3;3;3
"425";25;"Laki-Laki";18;"Fakultas Ekonomi dan Bisnis";"Manajemen";"1 (Semester 1 – Semester 2)";"< 1 jt";0;1;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";3,75335538612546;4;3;3;3;3;3
"426";26;"Perempuan";20;"Fakultas Ekonomi dan Bisnis";"Manajemen";"2 (Semester 3 – Semester 4)";"1 jt – 2 jt";0;0;0;"Sepeda Motor Pribadi";"Asrama";30,5272137574667;1;1;1;1;1;1
"427";27;"Perempuan";22;"Fakultas Ekonomi dan Bisnis";"Manajemen";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";0;1;0;"Sepeda Motor Pribadi";"Kos bersama-sama";2,50789877995786;5;5;5;5;3;3
"428";28;"Laki-Laki";21;"Fakultas Ekonomi dan Bisnis";"Administrasi Bisnis";"3 (Semester 5 - Semester 6)";"2,1 jt – 3 jt";2;3;3;"Sepeda Motor Pribadi";"Kos Sendiri";0,29861079428036;1;1;1;1;1;1
"429";29;"Laki-Laki";20;"Fakultas Ekonomi dan Bisnis";"Manajemen";"2 (Semester 3 – Semester 4)";"1 jt – 2 jt";1;1;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";3,02048086833811;1;1;2;1;1;1
"430";30;"Laki-Laki";20;"Fakultas Hukum";"Ilmu Hukum";"4 (Semester 7 - Semester 8)";"2,1 jt – 3 jt";1;3;0;"Mobil Pribadi";"Rumah pribadi/rumah keluarga";1,25171514097766;3;3;3;3;3;1
"431";31;"Perempuan";22;"Fakultas Teknik";"Arsitektur";"4 (Semester 7 - Semester 8)";"2,1 jt – 3 jt";2;2;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,329986236060145;3;2;1;1;1;1
"432";32;"Laki-Laki";21;"Fakultas Teknik";"Teknik Sipil";"3 (Semester 5 - Semester 6)";"1 jt – 2 jt";1;2;0;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";1,7784158233703;3;3;2;1;4;1
"433";33;"Laki-Laki";21;"Fakultas Hukum";"Ilmu Hukum";"4 (Semester 7 - Semester 8)";"1 jt – 2 jt";2;2;0;"Mobil Pribadi";"Rumah pribadi/rumah keluarga";3,23707224952542;3;1;4;1;3;1
"434";34;"Laki-Laki";22;"Fakultas Teknik";"Teknik Sipil";"2 (Semester 3 – Semester 4)";"1 jt – 2 jt";1;2;0;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";2,14089151433054;4;3;2;3;3;1
"435";35;"Perempuan";22;"Fakultas Ekonomi dan Bisnis";"Manajemen";"2 (Semester 3 – Semester 4)";"2,1 jt – 3 jt";3;2;0;"Mobil Pribadi";"Rumah pribadi/rumah keluarga";5,29675521321658;3;2;3;2;2;1
"436";36;"Laki-Laki";23;"Fakultas Teknik";"Teknik Mesin";"3 (Semester 5 - Semester 6)";"1 jt – 2 jt";2;2;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";7,20338343150395;4;3;1;5;3;1
"437";37;"Perempuan";23;"Fakultas Teknik";"Teknik Mesin";"4 (Semester 7 - Semester 8)";"2,1 jt – 3 jt";2;3;1;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";5,65453261540912;1;1;1;1;2;1
"438";38;"Perempuan";19;"Fakultas Hukum";"Ilmu Hukum";"2 (Semester 3 – Semester 4)";"1 jt – 2 jt";1;2;2;"Transportasi Online";"Rumah pribadi/rumah keluarga";24,0211210515964;1;1;1;1;1;1
"439";39;"Laki-Laki";21;"Fakultas Hukum";"Ilmu Hukum";"3 (Semester 5 - Semester 6)";"< 1 jt";0;1;0;"Sepeda Motor Pribadi";"Rumah pribadi/rumah keluarga";4,23524011524345;3;4;4;3;3;3
